seed,label,precision,recall,f1_score,support
42,A,0.9403409090909091,1.0,0.9692532942898975,331
42,B,0.9773242630385488,0.9976851851851852,0.9873997709049256,432
42,C,0.9779179810725552,1.0,0.988835725677831,310
42,D,1.0,0.9183673469387755,0.9574468085106383,245
42,E,1.0,0.9939759036144579,0.9969788519637462,498
42,F,0.9724409448818898,1.0,0.9860279441117764,247
42,G,0.8915343915343915,0.9683908045977011,0.928374655647383,348
42,H,0.9881235154394299,0.9541284403669725,0.970828471411902,436
42,I,0.9050632911392406,0.9930555555555556,0.9470198675496688,288
42,K,0.940251572327044,0.9033232628398792,0.9214175654853621,331
42,L,0.9812206572769953,1.0,0.990521327014218,209
42,M,0.9394812680115274,0.8274111675126904,0.8798920377867746,394
42,N,0.9651162790697675,0.8556701030927835,0.907103825136612,291
42,O,1.0,0.943089430894309,0.9707112970711297,246
42,P,0.9971264367816092,1.0,0.9985611510791367,347
42,Q,0.9879518072289156,1.0,0.9939393939393939,164
42,R,0.8674698795180723,1.0,0.9290322580645162,144
42,S,0.7987012987012987,1.0,0.8880866425992779,246
42,T,0.9065040650406504,0.8991935483870968,0.902834008097166,248
42,U,0.9919354838709677,0.924812030075188,0.9571984435797666,266
42,V,1.0,0.9971098265895953,0.9985528219971056,346
42,W,0.9951690821256038,1.0,0.9975786924939467,206
42,X,0.9959677419354839,0.9250936329588015,0.9592233009708738,267
42,Y,0.9938080495356038,0.9668674698795181,0.9801526717557252,332
123,A,1.0,1.0,1.0,331
123,B,1.0,0.9236111111111112,0.9602888086642599,432
123,C,0.9538461538461539,1.0,0.9763779527559056,310
123,D,1.0,0.9510204081632653,0.9748953974895398,245
123,E,0.9576107899807321,0.9979919678714859,0.9773844641101278,498
123,F,1.0,1.0,1.0,247
123,G,0.9228395061728395,0.8591954022988506,0.8898809523809523,348
123,H,1.0,0.9541284403669725,0.9765258215962441,436
123,I,0.9381107491856677,1.0,0.9680672268907563,288
123,K,0.9792284866468842,0.9969788519637462,0.9880239520958084,331
123,L,0.9952380952380953,1.0,0.9976133651551312,209
123,M,0.9772727272727273,0.9822335025380711,0.979746835443038,394
123,N,0.9763513513513513,0.993127147766323,0.9846678023850085,291
123,O,1.0,0.9390243902439024,0.9685534591194969,246
123,P,1.0,0.9394812680115274,0.9687964338781575,347
123,Q,0.8,1.0,0.8888888888888888,164
123,R,0.8313953488372093,0.9930555555555556,0.9050632911392406,144
123,S,0.9732142857142857,0.8861788617886179,0.9276595744680851,246
123,T,0.7863247863247863,0.7419354838709677,0.7634854771784232,248
123,U,0.952191235059761,0.8984962406015038,0.9245647969052224,266
123,V,0.9426229508196722,0.9971098265895953,0.9691011235955056,346
123,W,0.9951690821256038,1.0,0.9975786924939467,206
123,X,0.8118811881188119,0.9213483146067416,0.8631578947368421,267
123,Y,1.0,0.9427710843373494,0.9705426356589147,332
2026,A,1.0,1.0,1.0,331
2026,B,1.0,0.9861111111111112,0.993006993006993,432
2026,C,1.0,1.0,1.0,310
2026,D,0.9839357429718876,1.0,0.9919028340080972,245
2026,E,0.9718875502008032,0.9718875502008032,0.9718875502008032,498
2026,F,1.0,1.0,1.0,247
2026,G,0.9441340782122905,0.9712643678160919,0.9575070821529745,348
2026,H,0.9881235154394299,0.9541284403669725,0.970828471411902,436
2026,I,0.8934169278996865,0.9895833333333334,0.9390444810543658,288
2026,K,0.990625,0.9577039274924471,0.9738863287250384,331
2026,L,1.0,1.0,1.0,209
2026,M,0.9970674486803519,0.8629441624365483,0.9251700680272109,394
2026,N,0.9965034965034965,0.979381443298969,0.9878682842287695,291
2026,O,1.0,1.0,1.0,246
2026,P,1.0,0.9394812680115274,0.9687964338781575,347
2026,Q,0.8631578947368421,1.0,0.9265536723163842,164
2026,R,0.8421052631578947,1.0,0.9142857142857143,144
2026,S,0.8075601374570447,0.9552845528455285,0.8752327746741154,246
2026,T,0.9382716049382716,0.9193548387096774,0.9287169042769857,248
2026,U,1.0,0.9586466165413534,0.9788867562380038,266
2026,V,0.9884057971014493,0.9855491329479769,0.9869753979739508,346
2026,W,0.9855769230769231,0.9951456310679612,0.9903381642512077,206
2026,X,0.9230769230769231,0.9438202247191011,0.9333333333333333,267
2026,Y,0.9902912621359223,0.9216867469879518,0.9547581903276131,332
