statistic,test_accuracy_pct,macro_precision_pct,macro_recall_pct,macro_f1_pct
mean,96.05409927495816,95.70956280542265,96.21921515841869,95.82890987297208
std,0.59858025470344,0.6660479782627882,0.7847318670667998,0.7258176873758944
min,95.51031790295595,94.97206973622741,95.49036607368994,95.0869368626229
max,96.69548243167874,96.26724818995508,97.04988894953065,96.53741430988175
