epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.14956292510032654,2.7680821418762207,0.4569295346736908,1.728147268295288,0.0010000000474974513
2,0.5015935301780701,1.4235641956329346,0.6823893785476685,0.958812415599823,0.0010000000474974513
3,0.6972318291664124,0.8474367260932922,0.840648353099823,0.5045428276062012,0.0010000000474974513
4,0.7880622744560242,0.5808500647544861,0.9071207642555237,0.3262464702129364,0.0010000000474974513
5,0.8619104027748108,0.3951256573200226,0.9145874977111816,0.25409457087516785,0.0010000000474974513
6,0.8935986161231995,0.3060157001018524,0.9686760306358337,0.13258706033229828,0.0010000000474974513
7,0.9244217872619629,0.2249266505241394,0.9817883968353271,0.08118357509374619,0.0010000000474974513
8,0.9455017447471619,0.1643829494714737,0.9803314805030823,0.08169328421354294,0.0010000000474974513
9,0.9622108936309814,0.1247357428073883,0.9823347330093384,0.0614541731774807,0.0010000000474974513
10,0.9694044589996338,0.09783119708299637,0.9981788396835327,0.01733861304819584,0.0010000000474974513
11,0.9719085693359375,0.09179012477397919,0.9967219233512878,0.02420777827501297,0.0010000000474974513
12,0.9798761606216431,0.06609881669282913,0.9983609318733215,0.011270802468061447,0.0010000000474974513
13,0.9826989769935608,0.0567573644220829,0.9810599088668823,0.05844545364379883,0.0010000000474974513
14,0.9847022294998169,0.05313137173652649,0.998725175857544,0.010096052661538124,0.0010000000474974513
15,0.9862502217292786,0.04458986222743988,0.9972682595252991,0.016247587278485298,0.0010000000474974513
16,0.9869787096977234,0.04320564866065979,0.9994536638259888,0.005698301829397678,0.0010000000474974513
17,0.9878437519073486,0.03839133679866791,1.0,0.0048131379298865795,0.0010000000474974513
18,0.9913949966430664,0.02821190096437931,0.9998179078102112,0.0059979199431836605,0.0010000000474974513
19,0.99071204662323,0.02986730821430683,0.9996357560157776,0.0027256878092885017,0.0010000000474974513
20,0.9929885268211365,0.024384567514061928,1.0,0.0012661345535889268,0.0010000000474974513
21,0.9890730381011963,0.03427077829837799,0.9985430836677551,0.005611047148704529,0.0010000000474974513
22,0.9913039803504944,0.02756527066230774,1.0,0.002162026008591056,0.0010000000474974513
23,0.9961755871772766,0.012610282748937607,1.0,0.0005865354905836284,0.0005000000237487257
24,0.9967219233512878,0.011532026343047619,1.0,0.00040968655957840383,0.0005000000237487257
25,0.9964032173156738,0.011997179128229618,1.0,0.0002794327447190881,0.0005000000237487257
26,0.9967674612998962,0.011668463237583637,1.0,0.00043676065979525447,0.0005000000237487257
27,0.9969040155410767,0.010140280239284039,1.0,0.001140838605351746,0.0005000000237487257
28,0.9975414276123047,0.007757243700325489,1.0,0.00010425037908134982,0.0002500000118743628
29,0.998725175857544,0.005594449117779732,1.0,9.058136492967606e-05,0.0002500000118743628
30,0.9984520077705383,0.006519100163131952,1.0,0.00014109861513134092,0.0002500000118743628
