epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.1140957921743393,0.0010000000474974513,2.906264543533325,0.32179930806159973,2.2128512859344482
1,0.42091605067253113,0.0010000000474974513,1.6900739669799805,0.6685485243797302,1.0614756345748901
2,0.6527499556541443,0.0010000000474974513,0.9773468971252441,0.8484793305397034,0.5803831219673157
3,0.7660261988639832,0.0010000000474974513,0.6577609181404114,0.874886155128479,0.3946160078048706
4,0.8388271927833557,0.0010000000474974513,0.46725237369537354,0.9293389320373535,0.24524544179439545
5,0.8834911584854126,0.0010000000474974513,0.34203383326530457,0.9435439705848694,0.19503220915794373
6,0.9108541011810303,0.0010000000474974513,0.26473450660705566,0.9169549942016602,0.2066584825515747
7,0.9276543259620667,0.0010000000474974513,0.21507681906223297,0.9816062450408936,0.08926721662282944
8,0.9494627714157104,0.0010000000474974513,0.1578533947467804,0.9714077711105347,0.0968794971704483
9,0.9555181264877319,0.0010000000474974513,0.1360718458890915,0.9938080310821533,0.034452229738235474
10,0.9636222720146179,0.0010000000474974513,0.11342065036296844,0.9979967474937439,0.0225344467908144
11,0.9687215685844421,0.0010000000474974513,0.09607996046543121,0.9945365190505981,0.027769125998020172
12,0.9761883020401001,0.0010000000474974513,0.07742205262184143,0.9938080310821533,0.02320443093776703
13,0.9846566915512085,0.0005000000237487257,0.052522651851177216,0.998725175857544,0.010633835569024086
14,0.9860225915908813,0.0005000000237487257,0.0460871197283268,1.0,0.004689057357609272
15,0.9872974157333374,0.0005000000237487257,0.043352894484996796,1.0,0.004712254274636507
16,0.9867055416107178,0.0005000000237487257,0.04504791647195816,0.9992715120315552,0.006474527530372143
17,0.9913039803504944,0.0002500000118743628,0.03181798383593559,0.9996357560157776,0.003534025279805064
18,0.9913949966430664,0.0002500000118743628,0.032035451382398605,1.0,0.0027575469575822353
19,0.9917592406272888,0.0002500000118743628,0.028651809319853783,0.9994536638259888,0.0037012521643191576
20,0.9919413328170776,0.0002500000118743628,0.03007430024445057,0.9998179078102112,0.0018099461449310184
21,0.9912129044532776,0.0002500000118743628,0.0293177030980587,0.9998179078102112,0.002124827355146408
22,0.9915316104888916,0.0002500000118743628,0.029306359589099884,1.0,0.001563555677421391
23,0.9924877285957336,0.0002500000118743628,0.027930211275815964,1.0,0.0020264596678316593
24,0.9920324087142944,0.0002500000118743628,0.02715347521007061,1.0,0.0013531973818317056
25,0.9930340647697449,0.0002500000118743628,0.02512200176715851,0.9998179078102112,0.0022571587469428778
26,0.9932616949081421,0.0002500000118743628,0.023116908967494965,0.9998179078102112,0.0018138150917366147
27,0.9948552250862122,0.0001250000059371814,0.01875615492463112,1.0,0.0007550956797786057
28,0.9944454431533813,0.0001250000059371814,0.01935086026787758,1.0,0.000730450265109539
29,0.9949917793273926,0.0001250000059371814,0.01861746981739998,0.9998179078102112,0.0009172062273137271
